"Timestamp","1. In what age group are you currently in ?","2.  Your gender","3. Do you visit restaurant websites ?","4. How often do you visit the restaurant website before you visit the restaurant ?","5. Did Pato- Restaurant website help you to find what you were looking for ?","6. How was your impression of the website ?","7. Does Pato- Restaurant website provide your preferred Italian food ?","8. Was it easy to find your needed information from our home page ?","9. How long did it take to find what you were looking ?","10. Does Pato - Restaurant website visually appealing ?","11 . Do you like the theme and designs used in the website ?","12. What did you notice easily in our website?","13.What are the disturbances you found in our website ?  ","14. What are the improvements needed to our website ?","15. How do you rate our website in terms of content ?","16. How likely you would recommend our website to your friends ?"
"2019/03/15 10:53:30 AM GMT+5:30","19 - 30","Male","Yes","Sometimes","Yes","Good","Yes","Easily found","A little less time","3","Yes","Menu","Fonts used","Nothing ","4","3"
"2019/03/15 11:13:47 AM GMT+5:30","19 - 30","Female","Yes","Always","Yes","Great","Yes","Easily found","A little less time","5","Yes","Menu","Animations","Add more foods","5","5"
"2019/03/15 11:29:36 AM GMT+5:30","19 - 30","Female","Yes","Always","Yes","Good","Yes","Easily found","Time I expected","4","Yes","Gallery","Animations","nothing ","4","4"
"2019/03/15 11:33:46 AM GMT+5:30","19 - 30","Female","Yes","Sometimes","Yes","Great","Yes","Easily found","Time I expected","5","Yes","Menu","Lot to scroll down","Make it easy to reach without scrolling more","4","5"
"2019/03/15 12:02:23 PM GMT+5:30","19 - 30","Female","Yes","Always","Maybe","Good","No","Easily found","A little less time","3","Yes","Menu","Animations","A bit of a colour change and the animations ","3","4"
"2019/03/15 12:16:33 PM GMT+5:30","19 - 30","Female","Yes","Sometimes","Yes","Great","Yes","Easily found","A little less time","5","Yes","Menu","Time taken to navigate through pages","I like the way it is.","5","5"
"2019/03/15 12:19:16 PM GMT+5:30","19 - 30","Female","Yes","Always","Somtimes not","Good","Yes","Had to search","A little more time","4","Yes","Menu","Lot to scroll down","It's better if u can add Images for the starters,desserts etc","4","4"
"2019/03/15 12:32:30 PM GMT+5:30","19 - 30","Female","Yes","Rarely","Yes","Great","Yes","Had to search","A little more time","4","Yes","Menu","Animations","Speed","4","3"
"2019/03/15 12:39:33 PM GMT+5:30","19 - 30","Male","Yes","Always","Yes","Great","Yes","Easily found","A little less time","5","Yes","Menu","Lot to scroll down","Improve the Mobile Friendly. ","5","5"
"2019/03/15 12:46:56 PM GMT+5:30","31 - 50","Male","Yes","Always","Yes","Great","Yes","Had to search","Time I expected","5","Yes","Reservation","Animations","All good ","5","5"
